decile,n,positives,avg_score,rate,lift_vs_base
D1,823,497,0.5218676217594632,0.6038882138517618,2.3980657449673246
D2,823,291,0.3290140345595578,0.353584447144593,1.4040988567112505
D3,823,228,0.27686583280975396,0.2770352369380316,1.1001186918562376
D4,826,222,0.24746290879201197,0.2687651331719128,1.0672777585610513
D5,819,186,0.2263232488879694,0.2271062271062271,0.9018484732770448
D6,827,173,0.21283981182655456,0.20918984280532044,0.8307017502906258
D7,821,136,0.19695382196395034,0.1656516443361754,0.6578097150569745
D8,870,147,0.18364909207603944,0.16896551724137931,0.6709692451071761
D9,773,79,0.17804042571280915,0.10219922380336352,0.4058374582307312
D10,823,113,0.17140589426452763,0.13730255164034022,0.5452342639462932
